Sample_ID,K_treatment.x,K_type.x,K_treatment_ENG.x,P_fungi,P_bacteria,P_PMN,P_HWC,P_ergosterol.old,P_CN.product,P_resp.product,P_N.t,P_C.N,P_N.a,P_P.a,P_P.t,P_K.a,P_K.t,P_S.t,P_S.a,P_Mg.t,P_Na.t,P_B.t,P_Cu.a,P_Mn.t,P_Co.a,P_Zn.a,P_pH,P_CaCO3,P_OM,P_CEC,P_Se.a,P_Ca.a,P_Ca.t,P_silt,P_sand,P_silica,P_Mo.a,P_ergosterol,Y_rs.dis
16S.2016.F05.S35,CaNO3,control,Control+N,23.5,15.9,12.1,623,5.713461049,,,1290,20,38,2.6,61,148,2.2,220,4,169,34,257,21,360,2.6,1220,5.8,0.2,4.5,81,2.1,522,4440,7,89,3030,4,,20
16S.2017.F05.S35,zaadmeel,seeds,Terrafit_Biofum,18.1,16.6,47.6,598,,9.1,4.9,1070,8,78,1.8,35,45,2.2,380,31,28,6,83,148,540,3.7,220,7.1,5.1,1.5,46,2.1,521,2970,0,93,13310,3,,18
16S.2016.F06.S36,CaNO3,control,Control+N,31.3,8.4,16.5,619,6.120904806,,,1420,18,51,2.6,60,147,2,260,8,184,37,260,21,420,2.6,1070,5.7,0.2,4.5,83,2.1,418,4570,9,87,3020,4,,7
16S.2017.F06.S36,haar/hoefmeel,keratin,Hair_meal,12.3,18.1,40,657,,3.4,24.4,890,10,60,1.6,37,17,1.3,290,22,20,6,76,94,250,2.6,150,7.3,5.6,1.6,50,2.1,144,3320,6,86,9400,4,,9
16S.2016.F07.S31,CaNO3,control,Control+N,32.1,2.3,12,638,5.465270247,,,1290,20,38,2.6,57,149,2,230,5,183,37,248,21,470,2.6,1150,5.8,0.2,4.4,76,2,471,3995,7,89,3020,4,,15
16S.2017.F07.S31,CaNO3,control,Control+N,3.9,9.4,6.9,628,,,,1250,19,41,1.2,43,52,1.8,200,4,183,7,155,21,250,2.6,570,5.6,0.2,4.1,71,2.1,397,3835,8,88,3020,4,,7
16S.2016.F08.S32,CaNO3,control,Control+N,23,5.7,13.2,679,5.501635393,,,1370,19,43,2.8,61,154,2,260,8,174,37,248,21,470,2.6,1180,5.7,0.2,4.4,74,2.1,367,3795,6,90,3020,4,,11
16S.2017.F08.S32,KeraproChamplus,keratin,Kerapro_slow_release,12.8,10.5,33.2,741,,3.6,23.1,1180,21,31,1.3,46,50,2.2,220,5,198,8,101,21,360,2.6,600,5.5,0.2,4.2,68,2.1,290,3495,9,86,3020,4,,9
16S.2016.F09.S33,zaadmeel,seeds,Terrafit_Biofum,43.9,17.9,43.1,778,9.519387456,8.5,9.7,1350,18,49,3.3,58,150,2.4,260,8,175,28,216,21,1030,3.5,1380,5.6,0.2,4.3,71,2.1,342,3680,8,88,3020,4,,15
16S.2017.F09.S33,Keratinemengsel,keratin,Keratin_mix,9,14.8,30.1,793,,3.3,27.5,1280,19,42,1.1,47,53,1.9,250,8,206,11,129,21,340,2.6,800,5.4,0.2,4.2,69,2.1,422,3495,10,86,3020,4,,10
16S.2016.F10.S34,zaadmeel,seeds,Terrafit_Biofum,74.8,19.3,37,697,12.05119931,8.5,9.7,1400,19,44,3,58,148,2.3,270,8,171,25,210,21,1160,3.7,1440,5.6,0.2,4.5,72,2.1,339,3395,8,88,3020,4,,15
16S.2017.F10.S34,groencompost,plant,Compost-2,7.5,4.6,22.8,814,,16.6,3.7,1220,19,39,1.5,47,168,2.3,210,5,136,22,205,21,1170,2.6,640,5.5,0.2,3.9,69,2.1,346,3395,4,92,3120,4,,9
16S.2016.F11.S35,zaadmeel,seeds,Terrafit_Biofum,50,16.8,46.8,750,13.02998559,8.5,9.7,1610,16,67,2.9,58,154,2.4,260,8,159,26,219,21,1100,4.3,1180,5.7,0.2,4.5,74,2.1,313,3655,8,88,3020,4,,17
