Feature_ID,ASV,Taxon,Confidence
1175ebc6f8eb4a7fc4e81762c50fba04,ASV102,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Sagenomella;s__Sagenomella_oligospora,1
11b53f3fddd74cbb08a0189a3b0b5041,ASV103,k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified,0.818316538
11e4c100761de54a566b0defb86d06a6,ASV104,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Cladophialophora;s__Cladophialophora_sylvestris,0.942737753
12ce2bc1717925811e05405c24e29127,ASV105,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Coprinus;s__Coprinus_cordisporus,0.999998934
13dd5e4fa495e32d3fe0ced1cb6e0962,ASV106,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Tetracladium;s__unidentified,0.898100626
141e141d19d35481dfabda50d8857916,ASV107,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Cistella;s__unidentified,0.994914842
14c27f96c4c64d6429d6765fed828eff,ASV108,k__Fungi;p__Chytridiomycota;c__Spizellomycetes;o__Spizellomycetales;f__unidentified;g__unidentified;s__unidentified,0.988678575
14c8c15ef1d787f86fdc86ee38664079,ASV109,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__unidentified;g__unidentified;s__unidentified,0.744638347
14ff7a2ff4b70a825fcd6d79b7ce9308,ASV110,k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified,0.869799817
1509993b7be9df0a0965e443cea89d97,ASV111,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__unidentified;g__unidentified;s__unidentified,0.995760367
1515385194bcd917a5d53094f3dea4bf,ASV112,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Parasola;s__Parasola_misera,0.999999927
1518d3a6076a74e7e62d3b636085624a,ASV113,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae,0.999990759
15473187dca7043ee07cb554d9d9f9c9,ASV114,k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae;g__Arthrobotrys,0.987082329
1550c19651dd64d8e4b96624ed2f5fcf,ASV115,k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Diversisporales;f__Diversisporaceae;g__unidentified;s__unidentified,0.997712542
15de14af1f4aaa6b4528af30a9bf775d,ASV116,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_amoeboidea,1
16896423ffbac31feaea6241b25a7644,ASV117,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified;g__unidentified;s__unidentified,0.942890974
16df35fe3c5baf0ec76a97a70221d588,ASV118,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_keratoplasticum,0.782476215
16f7cfe92512e80e84a766056ff829c4,ASV119,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Magnaporthales;f__Magnaporthaceae;g__Buergenerula;s__Buergenerula_spartinae,0.999967719
171e8d67b4fac7dced1fd6852bf20562,ASV120,k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae;g__Dactylella;s__Dactylella_arnaudii,0.999999996
1770ca71b508d3ba6dd7fc39eeb242fb,ASV121,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified;g__unidentified;s__unidentified,0.75597576
17715e1a98eb6058c07d407456ff5bb3,ASV122,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Myxotrichaceae;g__Oidiodendron;s__Oidiodendron_truncatum,0.908035016
179aad96adc8242b9815748a49ba4d99,ASV123,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales;f__Mrakiaceae;g__Tausonia;s__Tausonia_pullulans,1
17a1811619a5afa2a0a46cbc3c129221,ASV124,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales,0.998519548
17a681233f85686fbfe8a4569462b054,ASV125,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__unidentified;g__unidentified;s__unidentified,0.99902296
17c0c3f11cd36d7176237b4ed7e4f29b,ASV126,k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified,0.771893073
17f8d45e93f8bb58d7cfd42e28e6ff58,ASV127,k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Mucoraceae;g__Mucor;s__Mucor_circinelloides,0.999991891
17fbef40ae40356f4361e06b818a8382,ASV128,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Acremonium;s__Acremonium_polychromum,0.958600091
18238591740d33b6224d48133226d98f,ASV129,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae,0.999607794
18a8ad151e1bb2dfd4289f19f16cb8e1,ASV130,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Apiotrichum,0.999997286
18be202d03354d23e85a3113a41ea6b6,ASV131,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Microdochiaceae;g__Microdochium;s__unidentified,0.950083293
18d31bd7ff60f28823fcf8f8893a61f9,ASV132,k__Fungi;p__Ascomycota;c__Leotiomycetes,0.999348933
1924ff8723860312f1b994de22d227e7,ASV133,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae;g__Iodophanus;s__unidentified,0.998808084
1960a175fe5e0f03af4e739ba0c927a7,ASV134,k__Fungi;p__Basidiomycota,0.709737818
1966e0d457fdb2d807aab38a9786f590,ASV135,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Cutaneotrichosporon;s__Cutaneotrichosporon_guehoae,0.99999996
1977bf6f86c1a114ebf90b0cc440811f,ASV136,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Metarhizium;s__Metarhizium_robertsii,0.999999997
198ee819d9c765a206d28890e1f06f8b,ASV137,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Massarinaceae;g__unidentified;s__unidentified,0.999831918
1a01b278d757ee8aa9bee97dd3a0e304,ASV138,k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Debaryomycetaceae;g__Debaryomyces;s__Debaryomyces_hansenii,0.827431627
1a03ba1dcf15eec602a344219cb979b0,ASV139,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__unidentified;s__unidentified,0.999533186
